Encuesta,diasEleccion,dias1eraEnc+1,ArrateAdj,MEOAdj,PineraAdj,FreiAdj,Consider,Muestra
CEP,193,1,,0.1,0.35,0.28,1,1505
Direct Media 31,123,71,0.02,0.2,0.45,0.28,1,1158
La Segunda-UDD30,79,115,0.05,0.22,0.46,0.27,1,1197
Direct Media31,72,122,0.06,0.24,0.45,0.24,1,1158
U. Mayor,65,129,0.09,0.21,0.47,0.23,1,1000
La Tercera,64,130,0.07,0.27,0.44,0.22,1,801
Imaginación,60,134,0.05,0.23,0.43,0.29,1,1092
El Mercurio - Opina,56,138,0.06,0.25,0.44,0.26,1,1200
CERC,54,140,0.04,0.24,0.49,0.24,1,1200
Ipsos,53,141,0.04,0.21,0.43,0.32,1,1522
U. Diego Portales32,46,148,0.05,0.23,0.4,0.31,1,1302
Giro País33,46,148,0.05,0.22,0.41,0.32,1,810
El Mercurio - Opina,36,158,0.07,0.24,0.44,0.25,1,1200
CEP,32,162,0.05,0.19,0.4,0.3,0,1505
CEP (voto urna),32,162,0.06,0.22,0.42,0.3,1,1505
Imaginación,27,167,0.07,0.24,0.4,0.29,1,1092
La Segunda-UDD,23,171,0.08,0.22,0.43,0.27,1,1197
CERC (predicción)34,4,190,0.07,0.18,0.44,0.31,1,1200
Resultado,0,194,0.062,0.201,0.441,0.296,0,
