comuna,a10,a11,a12,a13,a14,a15,a16,a17
Algarrobo,9876,9994,10119,10246,10359,10474,10588,10700
Alhué,5266,5363,5454,5540,5631,5728,5816,5916
Alto Biobío,6502,6428,6342,6258,6179,6118,6034,5957
Alto del Carmen,5754,5863,5975,6076,6194,6305,6412,6519
Alto Hospicio,84039,89182,94594,100226,106078,112142,118413,124872
Ancud,43233,43418,43569,43695,43832,43978,44128,44249
Andacollo,11061,11134,11204,11287,11348,11415,11488,11555
Angol,53727,54051,54384,54689,54995,55289,55570,55845
Antártica               ,162,167,172,181,184,192,196,202
Antofagasta,348840,354659,360573,366438,372325,378244,384065,389812
Antuco,4008,3991,3986,3969,3962,3945,3926,3906
Arauco,37633,37791,37932,38051,38163,38270,38363,38431
Arica,215348,219387,223486,227553,231611,235677,239710,243701
Aysén,25949,26313,26652,26994,27316,27644,27965,28283
Buín,76053,77457,78880,80316,81760,83211,84651,86079
Bulnes,21725,21784,21832,21869,21910,21963,22002,22042
Cabildo,19977,20014,20050,20079,20106,20117,20137,20135
Cabo de Hornos          ,2605,2650,2696,2737,2782,2825,2862,2906
Cabrero,28042,28273,28499,28709,28918,29136,29357,29563
Calama,162687,165410,168180,170937,173691,176459,179200,181897
Calbuco,33724,33973,34199,34421,34638,34864,35073,35282
Caldera,16128,16417,16710,16984,17263,17542,17830,18101
Calera  de Tango,22232,22695,23152,23625,24097,24577,25060,25528
Calle Larga,12917,13209,13507,13802,14108,14405,14712,15021
Camarones,803,794,788,779,783,778,778,783
Camiña,1299,1303,1298,1295,1297,1293,1278,1277
Canela,9838,9859,9886,9897,9914,9903,9914,9911
Cañete,33717,33848,33958,34050,34129,34202,34260,34277
Carahue,26697,26686,26668,26637,26606,26562,26515,26467
Cartagena,19242,19447,19647,19839,20035,20213,20396,20563
Casablanca,26363,26854,27348,27834,28338,28831,29333,29826
Castro,46434,46908,47380,47818,48247,48665,49068,49451
Catemu,13443,13550,13659,13766,13863,13960,14062,14151
Cauquenes,41717,41542,41341,41126,40896,40661,40401,40135
Cerrillos,80700,81629,82574,83502,84437,85349,86240,87114
Cerro Navia,156651,157032,157412,157745,158046,158299,158506,158641
Chaitén,2619,3221,3316,3423,3533,3740,3967,4176
Chañaral,13800,13800,13781,13770,13746,13725,13698,13660
Chanco,9425,9374,9311,9248,9173,9103,9037,8958
Chépica,15495,15631,15750,15860,15980,16081,16196,16278
Chiguayante,93379,94537,95686,96794,97909,99036,100157,101243
Chile Chico,4922,4971,5005,5032,5070,5098,5127,5161
Chillán,175576,176492,177341,178104,178871,179632,180348,181008
Chillán Viejo,28398,29157,29930,30703,31502,32319,33146,33982
Chimbarongo,36089,36385,36654,36919,37172,37424,37660,37876
Cholchol,11320,11427,11528,11628,11731,11834,11936,12026
Chonchi,14508,14666,14821,14943,15086,15234,15365,15494
Cisnes,5658,5527,5428,5366,5339,5341,5347,5356
Cobquecura,5807,5783,5773,5752,5735,5715,5689,5667
Cochamó,4317,4285,4246,4203,4159,4124,4078,4030
Cochrane,3226,3247,3274,3310,3336,3356,3382,3404
Codegua,13060,13293,13518,13729,13952,14166,14392,14588
Coelemu,16785,16823,16852,16878,16910,16950,17004,17040
Coihueco,25386,25489,25589,25674,25763,25843,25933,25996
Coinco,7006,7054,7091,7115,7160,7191,7217,7241
Colbún,19109,19192,19267,19336,19387,19444,19499,19530
Colchane,1686,1688,1691,1691,1698,1696,1688,1689
Colina,103744,107070,110491,113989,117573,121233,124958,128760
Collipulli,24122,24216,24319,24402,24490,24574,24638,24708
Coltauco,18654,18870,19090,19296,19503,19703,19894,20078
Combarbalá,14775,14895,14998,15107,15199,15299,15379,15453
Concepción,227795,228211,228466,228677,228848,229017,229118,229160
Conchalí,140042,140304,140561,140770,140950,141089,141185,141225
Concón,42316,43566,44833,46124,47447,48778,50154,51533
Constitución,49995,50190,50357,50498,50631,50754,50888,51031
Contulmo,5788,5748,5703,5670,5624,5581,5549,5500
Copiapó,155871,159192,162455,165655,168946,172231,175524,178788
Coquimbo,205272,210463,215693,220935,226223,231507,236799,242096
Coronel,108972,110227,111455,112655,113850,115062,116256,117423
Corral,5712,5724,5739,5734,5748,5756,5761,5769
Coyhaique,57292,57976,58623,59236,59862,60482,61081,61656
Cunco,19257,19215,19174,19131,19090,19047,18990,18926
Curacautín,17433,17391,17355,17307,17263,17221,17164,17107
Curacaví,27860,28213,28575,28943,29288,29641,29980,30319
Curaco de Vélez,3948,4000,4038,4078,4128,4167,4199,4243
Curanilahue,34347,34492,34606,34702,34802,34894,34977,35047
Curarrehue,7308,7352,7370,7397,7419,7443,7466,7491
Curepto,11064,11025,10983,10939,10895,10852,10799,10732
Curicó,136839,138379,139845,141277,142662,144025,145344,146612
Dalcahue,13830,14107,14408,14711,15005,15316,15616,15927
Diego de Almagro,16635,16354,16079,15797,15501,15224,14939,14656
Doñihue,19323,19528,19737,19927,20127,20318,20499,20677
El Bosque,189698,190633,191541,192389,193185,193915,194555,195106
El Carmen,13102,13073,13032,12982,12942,12898,12851,12806
El Monte,32266,32942,33618,34288,34986,35673,36377,37061
El Quisco,11751,12015,12281,12548,12819,13093,13359,13641
El Tabo,8939,9163,9396,9625,9863,10116,10351,10592
Empedrado,4473,4486,4476,4488,4486,4478,4477,4476
Ercilla,9299,9277,9265,9239,9216,9197,9168,9140
Estación Central,140884,141707,142546,143384,144188,144982,145749,146477
Florida,9493,9380,9271,9163,9045,8939,8843,8742
Freire,25491,25351,25200,25052,24904,24746,24584,24411
Freirina,6465,6556,6649,6737,6823,6915,6992,7073
Fresia,13128,13069,13010,12941,12868,12802,12737,12658
Frutillar,17003,17078,17138,17183,17224,17272,17312,17352
Futaleufú,3214,3203,3253,3294,3339,3382,3417,3459
Futrono,16097,16177,16244,16334,16403,16489,16564,16636
Galvarino,12812,12772,12727,12683,12632,12575,12523,12469
General Lagos,713,684,662,636,614,594,577,555
Gorbea,15779,15766,15754,15729,15711,15684,15649,15619
Graneros,31195,31726,32229,32739,33227,33726,34212,34677
Guaitecas,1683,1704,1716,1723,1733,1741,1754,1759
Hijuela,17558,17665,17774,17870,17966,18050,18143,18212
Hualaihué,10427,10518,10660,10789,10923,11051,11165,11291
Hualañé,10250,10265,10257,10256,10249,10241,10230,10204
Hualpén,100999,102428,103843,105219,106628,108028,109436,110823
Hualqui,22928,23395,23855,24320,24793,25266,25745,26243
Huara,2832,2857,2878,2897,2923,2936,2943,2966
Huasco,9393,9569,9737,9919,10083,10263,10429,10595
Huechuraba,88102,89647,91209,92770,94342,95912,97470,99019
Illapel,32309,32439,32558,32663,32753,32822,32887,32931
Inpendencia,76715,77944,79209,80476,81755,83059,84354,85638
Iquique,188380,190520,192663,194633,196437,198123,199629,200897
Isla de  Pascua,5309,5509,5709,5925,6148,6370,6600,6832
Isla de Maipo,31742,32437,33144,33855,34563,35298,36024,36747
Juan Fernández,800,812,817,836,850,857,863,871
La Calera,53765,54065,54345,54613,54878,55121,55343,55555
La Cisterna,90941,91296,91649,91977,92289,92580,92831,93057
La Cruz,16704,17178,17654,18153,18647,19145,19667,20189
La Estrella,3265,3259,3263,3279,3283,3305,3314,3333
La Florida,384748,385633,386540,387352,388119,388805,389392,389846
La Granja,141044,141529,142002,142449,142862,143237,143558,143819
La Higuera,4315,4376,4433,4497,4568,4622,4686,4727
La Ligua,33692,33743,33789,33829,33853,33878,33883,33884
La Pintana,206664,207907,209174,210369,211536,212656,213702,214663
La Reina,100964,101094,101237,101358,101459,101548,101614,101641
La Serena,195737,199966,204204,208426,212621,216874,221021,225178
La Unión,42297,42515,42712,42904,43093,43291,43484,43671
Lago Ranco,10681,10716,10747,10772,10810,10837,10854,10893
Lago Verde,1034,1030,1023,1013,1005,996,982,971
Laguna Blanca           ,617,615,610,599,587,580,567,566
Laja,23812,23873,23926,23971,24006,24040,24066,24083
Lampa,65631,69455,73502,77763,82249,86975,91936,97124
Lanco,16823,16980,17140,17296,17455,17620,17777,17936
Las Cabras,22978,23197,23392,23589,23773,23960,24134,24295
Las Condes,273908,275876,277859,279760,281623,283417,285140,286735
Lautaro,35649,35902,36159,36412,36648,36888,37119,37340
Lebu,26287,26347,26404,26455,26509,26567,26618,26670
Licantén,7274,7277,7277,7276,7267,7267,7253,7249
Limache,43630,43992,44359,44715,45061,45398,45709,46022
Linares,89761,90093,90382,90624,90845,91030,91193,91303
Litueche,6061,6118,6164,6211,6251,6303,6355,6385
Llaillay,23853,24028,24198,24358,24519,24680,24826,24955
Llanquihue,17793,17870,17928,17981,18036,18083,18137,18191
Lo Barnechea,92873,95015,97206,99416,101651,103919,106187,108470
Lo Espejo,118908,119170,119430,119654,119842,120014,120145,120218
Lo Prado,111099,111497,111887,112241,112579,112879,113146,113370
Lolol,6806,6846,6893,6928,6961,6994,7022,7053
Loncoche,23690,23648,23596,23536,23482,23425,23354,23275
Longaví,29591,29608,29609,29588,29562,29526,29486,29420
Lonquimay,10869,10886,10917,10930,10940,10957,10964,10981
Los Álamos,21914,22260,22589,22919,23252,23588,23925,24253
Los Andes,65997,66433,66858,67265,67659,68041,68401,68734
Los Ángeles,186616,188356,190030,191640,193252,194870,196454,197987
Los Lagos,21901,22048,22186,22314,22457,22593,22727,22864
Los Muermos,17154,17054,16941,16816,16692,16569,16441,16312
Los Sauces,7884,7880,7880,7867,7853,7847,7838,7818
Los Vilos,19327,19498,19668,19826,19980,20122,20259,20391
Lota,49141,48903,48653,48373,48098,47821,47539,47235
Lumaco,11562,11519,11481,11427,11379,11328,11270,11217
Machalí,43620,45313,46975,48561,50141,51665,53118,54519
Macul,121213,121809,122404,122966,123506,124015,124492,124905
Máfil,7469,7461,7466,7461,7464,7460,7461,7458
Maipú,524466,529623,534801,539869,544876,549788,554548,559123
Malloa,13653,13700,13743,13774,13816,13861,13905,13937
Marchihue,7448,7482,7511,7543,7565,7594,7623,7637
María Elena,6052,5872,5687,5506,5340,5162,5000,4840
María Pinto,12014,12190,12365,12550,12725,12901,13066,13238
Mariquina,20786,21054,21317,21580,21845,22119,22385,22654
Maule,33403,36154,39117,42279,45676,49334,53238,57427
Maullín,16043,15983,15928,15858,15788,15722,15647,15572
Mejillones,10221,10435,10656,10875,11090,11309,11541,11754
Melipeuco,5862,5860,5854,5853,5848,5837,5835,5819
Melipilla,109182,110682,112193,113698,115197,116680,118142,119580
Molina,41450,41632,41814,41968,42128,42273,42409,42531
Monte Patria,32863,33074,33278,33466,33641,33796,33952,34072
Mostazal,25074,25363,25635,25906,26170,26433,26693,26931
Mulchén,30423,30457,30472,30473,30479,30485,30484,30465
Nacimiento,27911,28017,28128,28214,28305,28392,28471,28542
Nancagua,16814,16879,16938,16984,17029,17075,17113,17147
Natales                 ,20738,20903,21072,21229,21392,21556,21714,21855
Navidad,5848,5876,5898,5917,5941,5958,5980,5994
Negrete,9738,9836,9950,10052,10148,10252,10348,10450
Ninhue,5901,5885,5878,5857,5847,5827,5817,5801
Ñiquén,11771,11762,11748,11717,11689,11665,11653,11609
Nogales,23321,23415,23524,23618,23708,23783,23859,23925
Nueva Imperial,32615,32785,32950,33099,33247,33386,33528,33653
Ñuñoa,199541,203687,207915,212163,216452,220779,225109,229434
O´Higgins,592,613,627,644,657,672,689,706
Olivar,14083,14266,14441,14623,14823,15025,15248,15489
Ollagüe,311,314,316,313,315,313,311,310
Olmué,15490,15596,15700,15794,15897,15987,16075,16162
Osorno,156253,156668,156968,157173,157389,157630,157855,158027
Ovalle,112880,114457,116017,117533,119014,120469,121868,123239
Padre Hurtado,49282,50554,51863,53188,54541,55909,57287,58675
Padre Las Casas,76182,78253,80358,82504,84684,86913,89163,91442
Paiguano,4425,4443,4465,4476,4483,4492,4492,4506
Paillaco,20490,20574,20658,20729,20798,20883,20956,21029
Paine,60675,61880,63114,64346,65603,66855,68101,69351
Palena,2134,2113,2127,2127,2131,2126,2125,2124
Palmilla,12682,12804,12931,13042,13158,13260,13379,13468
Panguipulli,35678,35837,35993,36129,36261,36408,36527,36650
Panquehue,7154,7201,7226,7277,7301,7333,7361,7387
Papudo,5090,5129,5159,5201,5242,5263,5310,5340
Paredones,6670,6633,6583,6536,6491,6439,6389,6331
Parral,39146,39079,39009,38909,38809,38686,38552,38403
Pedro Aguirre Cerda,121004,121313,121602,121859,122093,122304,122462,122579
Pelarco,7828,7854,7882,7904,7910,7936,7944,7955
Pelluhue,7278,7356,7421,7495,7553,7623,7678,7745
Pemuco,9274,9284,9293,9294,9298,9294,9297,9301
Peñaflor,81278,82956,84668,86401,88139,89892,91635,93397
Peñalolen,236043,237509,238951,240304,241576,242766,243847,244800
Pencahue,8806,8827,8838,8833,8845,8845,8840,8834
Penco,50237,50538,50822,51080,51346,51611,51853,52098
Peralillo,11037,11150,11248,11355,11460,11562,11658,11742
Perquenco,7065,7098,7145,7191,7220,7267,7300,7328
Petorca,10146,10186,10230,10261,10294,10323,10351,10384
Peumo,15540,15659,15771,15883,15981,16089,16181,16273
Pica,6536,6558,6582,6605,6626,6639,6653,6650
Pichidegua,19618,19764,19882,20001,20111,20216,20317,20400
Pichilemu,13885,14003,14111,14219,14311,14408,14502,14587
Pinto,10959,11038,11110,11184,11242,11307,11363,11437
Pirque,20019,20409,20808,21202,21595,21998,22403,22805
Pitrufquén,24035,24169,24299,24431,24552,24672,24794,24898
Placilla,8991,9055,9124,9171,9213,9254,9293,9312
Portezuelo,5679,5670,5662,5653,5648,5635,5627,5622
Porvenir                ,6657,6813,6978,7132,7296,7446,7615,7781
Pozo Almonte,12799,13030,13259,13496,13723,13940,14156,14361
Primavera               ,691,642,603,572,553,1259,1269,1277
Providencia,138984,140718,142462,144169,145869,147533,149165,150742
Puchuncaví,15996,16342,16688,17046,17403,17762,18115,18484
Pucón,25393,25843,26297,26757,27221,27680,28146,28609
Pudahuel,220898,223378,225888,228366,230833,233252,235629,237938
Puente Alto,570264,578226,586267,594244,602203,610118,617914,625553
Puerto Montt,222276,226543,230882,235166,239534,243825,248230,252542
Puerto Octay,10081,9988,9885,9784,9680,9574,9465,9360
Puerto Varas,38508,38985,39444,39875,40315,40756,41182,41617
Pumanque,3498,3497,3481,3480,3471,3470,3469,3452
Punitaqui,10447,10528,10599,10674,10748,10805,10868,10923
Punta Arenas            ,126849,127608,128245,128922,129555,128326,128810,129263
Puqueldón,4170,4157,4124,4081,4053,4021,3986,3950
Purén,13168,13135,13094,13054,13020,12973,12926,12885
Purranque,21692,21659,21610,21550,21478,21417,21354,21282
Putaendo,15962,16057,16139,16225,16306,16391,16469,16533
Putre,2042,2051,2057,2066,2073,2077,2084,2090
Puyehue,11371,11312,11244,11176,11109,11052,10988,10928
Queilén,5525,5542,5548,5549,5551,5560,5549,5558
Quellón,27680,28247,28817,29375,29951,30532,31122,31703
Quemchi,9168,9162,9144,9133,9109,9091,9074,9048
Quilaco,4140,4130,4130,4120,4118,4103,4097,4080
Quilicura,175094,181544,188223,195079,202151,209417,216857,224468
Quilleco,10358,10299,10236,10163,10097,10033,9964,9889
Quillón,16449,16541,16618,16682,16769,16840,16914,16976
Quillota,87818,88988,90169,91327,92482,93633,94749,95852
Quilpué,154162,156930,159705,162490,165284,168070,170853,173617
Quinchao,9138,9100,9048,8992,8934,8881,8826,8759
Quinta de  Tilcoco,12738,12855,12959,13050,13147,13241,13333,13408
Quinta Normal,111692,112326,112982,113641,114297,114958,115592,116217
Quintero,25387,25829,26296,26742,27213,27667,28124,28581
Quirihue,12838,12959,13079,13193,13303,13419,13526,13645
Rancagua,229312,230236,231040,231844,232639,233389,234048,234724
Ránquil,5982,5994,6013,6032,6041,6049,6065,6078
Rauco,9639,9729,9815,9889,9970,10044,10115,10182
Recoleta,162638,163816,165003,166139,167258,168342,169372,170326
Renaico,10179,10256,10346,10427,10499,10582,10662,10738
Renca,146427,147466,148528,149542,150546,151500,152399,153266
Rengo,57988,58629,59265,59877,60486,61102,61700,62284
Requínoa,26719,27446,28231,29137,30184,31405,32827,34479
Retiro,19617,19661,19675,19694,19704,19706,19696,19688
Rinconada,8926,9209,9490,9783,10084,10396,10703,11028
Río Bueno,33355,33323,33276,33223,33166,33115,33069,33010
Río Claro,13468,13483,13502,13509,13513,13509,13505,13497
Río Hurtado,4986,4987,4989,4997,4994,4992,4997,4992
Río Ibáñez,2441,2424,2409,2385,2367,2347,2331,2315
Río Negro,14437,14296,14147,13987,13826,13674,13517,13350
Río Verde               ,196,177,161,143,134,754,760,764
Romeral,14431,14575,14718,14846,14983,15112,15234,15351
Saavedra,13616,13486,13360,13238,13104,12977,12840,12706
Sagrada Familia,19121,19215,19313,19392,19467,19537,19596,19655
Salamanca,26557,26726,26891,27034,27181,27298,27410,27511
San Antonio,94524,95011,95487,95941,96360,96764,97136,97481
San Bernardo,280767,284090,287439,290741,294019,297262,300435,303520
San Carlos,52357,52506,52646,52778,52923,53085,53249,53406
San Clemente,40465,40703,40937,41151,41366,41556,41746,41916
San Esteban,17073,17353,17634,17916,18201,18480,18765,19043
San Fabián,3939,3959,3985,4013,4030,4044,4070,4094
San Felipe,71104,71687,72249,72793,73326,73842,74337,74812
San Fernando,71034,71594,72129,72622,73105,73586,74030,74435
San Gregorio            ,550,475,422,377,342,600,621,639
San Ignacio,16332,16274,16221,16152,16080,16019,15943,15877
San Javier,40618,40742,40859,40950,41032,41099,41157,41181
San Joaquín,102835,103132,103439,103742,104040,104327,104588,104837
San José  de Maipo,14557,14658,14749,14840,14922,15003,15083,15147
San Juan de la Costa,8150,8033,7900,7773,7646,7525,7410,7298
San Miguel,98334,100641,102987,105379,107797,110237,112686,115158
San Nicolás,10941,11046,11152,11248,11348,11451,11544,11636
San Pablo,10606,10598,10576,10536,10510,10490,10462,10430
San Pedro,8894,9041,9185,9332,9476,9621,9765,9907
San Pedro de  la Paz,110411,114270,118234,122261,126416,130703,135093,139570
San Pedro de Atacama,6432,6621,6809,7010,7212,7418,7626,7840
San Rafael,9095,9238,9371,9511,9652,9782,9908,10045
San Ramón,99009,99157,99318,99475,99615,99749,99860,99940
San Rosendo,3991,3984,3975,3967,3956,3936,3916,3897
San Vicente,45173,45568,45946,46287,46643,46985,47317,47613
Santa Bárbara,13161,13123,13075,13035,12985,12929,12884,12825
Santa Cruz,36202,36499,36786,37045,37303,37563,37810,38028
Santa Juana,13569,13608,13637,13667,13687,13705,13725,13740
Santa María,14755,14940,15128,15308,15484,15665,15836,16005
Santiago,293196,305528,318253,331325,344711,358332,372330,386471
Santo Domingo,8672,8805,8926,9049,9177,9299,9432,9552
Sierra Gorda,2825,2879,2927,2984,3040,3095,3151,3205
Talagante,67269,67973,68674,69367,70043,70720,71378,72006
Talca,225183,226989,228735,230303,231860,233339,234760,236037
Talcahuano,175336,175992,176568,177069,177567,178052,178500,178890
Taltal,12423,12551,12676,12807,12937,13050,13174,13296
Temuco,275577,278097,280613,283083,285487,287850,290234,292534
Teno,27917,28059,28185,28302,28397,28504,28591,28661
Teodoro Schmidt,16186,16189,16184,16174,16167,16163,16147,16125
Tierra Amarilla,15557,15883,16212,16546,16867,17194,17530,17857
Tiltil,16689,16873,17058,17243,17423,17599,17773,17940
Timaukel                ,242,223,218,199,191,384,398,408
Tirúa,10330,10350,10378,10409,10433,10458,10477,10495
Tocopilla,26471,26697,26931,27155,27378,27590,27807,27996
Toltén,11548,11532,11512,11479,11455,11423,11391,11357
Tomé,55392,55495,55579,55645,55693,55752,55788,55814
Torres del Paine        ,738,734,742,737,732,739,735,734
Tortel,603,616,631,650,649,651,659,677
Traiguén,20074,20034,19993,19936,19892,19835,19771,19707
Treguaco,5407,5392,5382,5357,5346,5318,5295,5277
Tucapel,13978,14068,14148,14226,14300,14378,14457,14523
Valdivia,158807,160663,162446,164231,166048,167861,169735,171527
Vallenar,51631,51964,52265,52551,52824,53087,53338,53550
Valparaíso,292713,293367,294023,294589,295075,295489,295731,295927
Vichuquén,5155,5166,5163,5153,5146,5134,5127,5118
Victoria,35001,35004,34993,34985,34968,34950,34911,34869
Vicuña,25988,26153,26295,26432,26561,26669,26781,26874
Vilcún,26017,26346,26682,27006,27349,27671,27996,28326
Villa Alegre,15411,15413,15405,15389,15369,15350,15306,15274
Villa Alemana,122074,125228,128448,131704,134999,138348,141729,145139
Villarrica,52072,52670,53265,53850,54427,55002,55582,56139
Viña del Mar,314011,316031,318009,319907,321760,323530,325195,326760
Vitacura,86860,87175,87500,87792,88065,88323,88548,88739
Yerbas Buenas,17762,17880,17966,18068,18160,18239,18313,18383
Yumbel,21534,21553,21574,21580,21594,21596,21593,21587
Yungay,17993,18052,18103,18155,18206,18248,18293,18331
Zapallar,6093,6112,6141,6166,6185,6205,6223,6244
